F_id1,F_id2,Hamming Distance
f_7_1,f_8_1,31
f_7_1,f_9_1,34
f_7_1,f_10_1,37
f_7_1,f_12_1,27
f_7_1,f_11_1,32
f_7_1,f_13_1,29
f_7_1,f_14_1,32
f_7_1,f_15_1,24
f_7_1,f_16_1,24
f_7_1,f_1_1,31
f_7_1,f_2_1,28
f_7_1,f_3_1,31
f_7_1,f_4_1,29
f_7_1,f_5_1,37
f_7_1,f_6_1,33
f_8_1,f_9_1,29
f_8_1,f_10_1,26
f_8_1,f_12_1,20
f_8_1,f_11_1,29
f_8_1,f_13_1,30
f_8_1,f_14_1,23
f_8_1,f_15_1,23
f_8_1,f_16_1,27
f_8_1,f_1_1,28
f_8_1,f_2_1,31
f_8_1,f_3_1,32
f_8_1,f_4_1,24
f_8_1,f_5_1,22
f_8_1,f_6_1,26
f_9_1,f_10_1,29
f_9_1,f_12_1,25
f_9_1,f_11_1,30
f_9_1,f_13_1,27
f_9_1,f_14_1,22
f_9_1,f_15_1,26
f_9_1,f_16_1,22
f_9_1,f_1_1,25
f_9_1,f_2_1,30
f_9_1,f_3_1,25
f_9_1,f_4_1,25
f_9_1,f_5_1,23
f_9_1,f_6_1,31
f_10_1,f_12_1,22
f_10_1,f_11_1,21
f_10_1,f_13_1,22
f_10_1,f_14_1,17
f_10_1,f_15_1,25
f_10_1,f_16_1,25
f_10_1,f_1_1,22
f_10_1,f_2_1,25
f_10_1,f_3_1,22
f_10_1,f_4_1,32
f_10_1,f_5_1,22
f_10_1,f_6_1,28
f_12_1,f_11_1,23
f_12_1,f_13_1,24
f_12_1,f_14_1,17
f_12_1,f_15_1,23
f_12_1,f_16_1,31
f_12_1,f_1_1,22
f_12_1,f_2_1,29
f_12_1,f_3_1,28
f_12_1,f_4_1,22
f_12_1,f_5_1,22
f_12_1,f_6_1,22
f_11_1,f_13_1,27
f_11_1,f_14_1,20
f_11_1,f_15_1,22
f_11_1,f_16_1,30
f_11_1,f_1_1,27
f_11_1,f_2_1,30
f_11_1,f_3_1,23
f_11_1,f_4_1,23
f_11_1,f_5_1,19
f_11_1,f_6_1,23
f_13_1,f_14_1,29
f_13_1,f_15_1,33
f_13_1,f_16_1,29
f_13_1,f_1_1,28
f_13_1,f_2_1,31
f_13_1,f_3_1,28
f_13_1,f_4_1,32
f_13_1,f_5_1,32
f_13_1,f_6_1,28
f_14_1,f_15_1,24
f_14_1,f_16_1,26
f_14_1,f_1_1,27
f_14_1,f_2_1,24
f_14_1,f_3_1,25
f_14_1,f_4_1,21
f_14_1,f_5_1,21
f_14_1,f_6_1,25
f_15_1,f_16_1,20
f_15_1,f_1_1,25
f_15_1,f_2_1,26
f_15_1,f_3_1,21
f_15_1,f_4_1,25
f_15_1,f_5_1,19
f_15_1,f_6_1,27
f_16_1,f_1_1,27
f_16_1,f_2_1,22
f_16_1,f_3_1,35
f_16_1,f_4_1,31
f_16_1,f_5_1,27
f_16_1,f_6_1,33
f_1_1,f_2_1,27
f_1_1,f_3_1,30
f_1_1,f_4_1,30
f_1_1,f_5_1,24
f_1_1,f_6_1,36
f_2_1,f_3_1,25
f_2_1,f_4_1,33
f_2_1,f_5_1,23
f_2_1,f_6_1,33
f_3_1,f_4_1,28
f_3_1,f_5_1,22
f_3_1,f_6_1,30
f_4_1,f_5_1,26
f_4_1,f_6_1,26
f_5_1,f_6_1,24
